X,Y,Z,Name,id,province_id,alt_name,latitude,longitude,name2
106.55271,-5.5985,0,KABUPATEN KEPULAUAN SERIBU,3101,31,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,KABUPATEN KEPULAUAN SERIBU
106.8135,-6.266,0,KOTA JAKARTA SELATAN,3171,31,KOTA JAKARTA SELATAN,-6.266,106.8135,KOTA JAKARTA SELATAN
106.884,-6.2521,0,KOTA JAKARTA TIMUR,3172,31,KOTA JAKARTA TIMUR,-6.2521,106.884,KOTA JAKARTA TIMUR
106.8403,-6.1777,0,KOTA JAKARTA PUSAT,3173,31,KOTA JAKARTA PUSAT,-6.1777,106.8403,KOTA JAKARTA PUSAT
106.7673,-6.1676,0,KOTA JAKARTA BARAT,3174,31,KOTA JAKARTA BARAT,-6.1676,106.7673,KOTA JAKARTA BARAT
106.8823,-6.1339,0,KOTA JAKARTA UTARA,3175,31,KOTA JAKARTA UTARA,-6.1339,106.8823,KOTA JAKARTA UTARA
