X,Y,Z,Name,id,province_id,alt_name,latitude,longitude,name2
110.02694,-7.645,0,KABUPATEN KULON PROGO,3401,34,KABUPATEN KULON PROGO,-7.645,110.02694,KABUPATEN KULON PROGO
110.36667,-7.9,0,KABUPATEN BANTUL,3402,34,KABUPATEN BANTUL,-7.9,110.36667,KABUPATEN BANTUL
110.61667,-7.98333,0,KABUPATEN GUNUNG KIDUL,3403,34,KABUPATEN GUNUNG KIDUL,-7.98333,110.61667,KABUPATEN GUNUNG KIDUL
110.32333,-7.68167,0,KABUPATEN SLEMAN,3404,34,KABUPATEN SLEMAN,-7.68167,110.32333,KABUPATEN SLEMAN
110.375,-7.8,0,KOTA YOGYAKARTA,3471,34,KOTA YOGYAKARTA,-7.8,110.375,KOTA YOGYAKARTA
