X,Y,Z,Name,id,alt_name,latitude,longitude,name2
124.5186167,0.8423149,0,SULAWESI UTARA,71,SULAWESI UTARA,"0.8423149",124.5186167,SULAWESI UTARA
120.80886,-1.69378,0,SULAWESI TENGAH,72,SULAWESI TENGAH,"-1.69378",120.80886,SULAWESI TENGAH
119.9801414,-3.9078051,0,SULAWESI SELATAN,73,SULAWESI SELATAN,"-3.9078051",119.9801414,SULAWESI SELATAN
121.72796,-3.54912,0,SULAWESI TENGGARA,74,SULAWESI TENGGARA,"-3.54912",121.72796,SULAWESI TENGGARA
122.45559,0.71862,0,GORONTALO,75,GORONTALO,"0.71862",122.45559,GORONTALO
119.3919,-2.49745,0,SULAWESI BARAT,76,SULAWESI BARAT,"-2.49745",119.3919,SULAWESI BARAT
